Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_16_BCA_KlikBCA,IE 10.0,,2018-10-11 14:45:28,2018-10-11 14:45:57,28.945s,PASSED
,,,,,,
Test Cases/TC_01_Member_Login/TC_MOBILE_LOGIN,IE 10.0,,2018-10-11 14:45:29,2018-10-11 14:45:39,10.475s,PASSED
openBrowser,IE 10.0,,2018-10-11 14:45:29,2018-10-11 14:45:36,6.404s,PASSED
maximizeWindow,IE 10.0,,2018-10-11 14:45:36,2018-10-11 14:45:37,1.197s,PASSED
setText,IE 10.0,,2018-10-11 14:45:37,2018-10-11 14:45:37,0.248s,PASSED
setText,IE 10.0,,2018-10-11 14:45:37,2018-10-11 14:45:37,0.156s,PASSED
delay,IE 10.0,,2018-10-11 14:45:37,2018-10-11 14:45:38,1.028s,PASSED
click,IE 10.0,,2018-10-11 14:45:38,2018-10-11 14:45:39,1.052s,PASSED
,,,,,,
Test Cases/TC_02_PDP/TC_PDP_digital,IE 10.0,,2018-10-11 14:45:39,2018-10-11 14:45:50,10.439s,PASSED
navigateToUrl,IE 10.0,,2018-10-11 14:45:40,2018-10-11 14:45:45,5.646s,PASSED
delay,IE 10.0,,2018-10-11 14:45:45,2018-10-11 14:45:47,2.005s,PASSED
click,IE 10.0,,2018-10-11 14:45:47,2018-10-11 14:45:48,0.138s,PASSED
click,IE 10.0,,2018-10-11 14:45:48,2018-10-11 14:45:50,2.247s,PASSED
,,,,,,
Test Cases/TC_03_Trade/Choose Payment Method/TC_16_Digital_BCA_KlikBCA,IE 10.0,,2018-10-11 14:45:50,2018-10-11 14:45:51,1.007s,PASSED
click,IE 10.0,,2018-10-11 14:45:50,2018-10-11 14:45:50,0.153s,PASSED
click,IE 10.0,,2018-10-11 14:45:50,2018-10-11 14:45:50,0.271s,PASSED
setText,IE 10.0,,2018-10-11 14:45:50,2018-10-11 14:45:51,0.349s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,IE 10.0,,2018-10-11 14:45:51,2018-10-11 14:45:51,0.021s,PASSED
,,,,,,
Test Cases/TC_03_Trade/TC_Click_Button_Order_and_get_order_number,IE 10.0,,2018-10-11 14:45:51,2018-10-11 14:45:57,5.766s,PASSED
click,IE 10.0,,2018-10-11 14:45:51,2018-10-11 14:45:51,0.131s,PASSED
navigateToUrl,IE 10.0,,2018-10-11 14:45:51,2018-10-11 14:45:54,3.240s,PASSED
click,IE 10.0,,2018-10-11 14:45:54,2018-10-11 14:45:55,0.360s,PASSED
click,IE 10.0,,2018-10-11 14:45:55,2018-10-11 14:45:55,0.598s,PASSED
"Statement - orderNumber = ""- "" + com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(No_order))",IE 10.0,,2018-10-11 14:45:55,2018-10-11 14:45:57,1.160s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,IE 10.0,,2018-10-11 14:45:57,2018-10-11 14:45:57,0.009s,PASSED
