Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_09_BRI_Bank_transfer,IE 10.0,,2018-10-11 13:36:11,2018-10-11 13:36:22,11.144s,FAILED
,,,,,,
Test Cases/TC_01_Member_Login/TC_MOBILE_LOGIN,IE 10.0,,2018-10-11 13:36:12,2018-10-11 13:36:20,8.530s,PASSED
openBrowser,IE 10.0,,2018-10-11 13:36:12,2018-10-11 13:36:18,5.827s,PASSED
maximizeWindow,IE 10.0,,2018-10-11 13:36:18,2018-10-11 13:36:19,1.228s,PASSED
setText,IE 10.0,,2018-10-11 13:36:19,2018-10-11 13:36:19,0.247s,PASSED
setText,IE 10.0,,2018-10-11 13:36:19,2018-10-11 13:36:20,0.155s,PASSED
click,IE 10.0,,2018-10-11 13:36:20,2018-10-11 13:36:20,0.583s,PASSED
,,,,,,
Test Cases/TC_02_PDP/TC_PDP_digital,IE 10.0,,2018-10-11 13:36:20,2018-10-11 13:36:21,0.578s,FAILED
navigateToUrl,IE 10.0,,2018-10-11 13:36:21,2018-10-11 13:36:21,0.099s,FAILED
,,,,,,
Test Cases/TC_03_Trade/Choose Payment Method/TC_09_Digital_BRI_Bank_transfer,IE 10.0,,2018-10-11 13:36:21,2018-10-11 13:36:21,0.276s,FAILED
click,IE 10.0,,2018-10-11 13:36:21,2018-10-11 13:36:21,0.028s,FAILED
,,,,,,
Test Cases/TC_03_Trade/TC_Click_Button_Order_and_get_order_number,IE 10.0,,2018-10-11 13:36:21,2018-10-11 13:36:21,0.475s,FAILED
click,IE 10.0,,2018-10-11 13:36:21,2018-10-11 13:36:21,0.023s,FAILED
